what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125184809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125209956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366125212520
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125222264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125222321
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366125222366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125223944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366125230322
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366125232461
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125232462
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125233673
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125233738
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366125233779
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125234808
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366125234857
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1366125234857
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1366125255022
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1366125255023
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125257610
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125257942
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366125257984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125260135
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366125264599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366125267054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366125267885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366125268108
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125270842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366125274314
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1366125274385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366125275835
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1366125279856
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366125285321
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366125288196
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125289556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125304525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125305226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125347601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125524404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125525692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125526352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125559960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125560786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366125589388
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1366125593423
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366125601770
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125703381
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366125729453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125746822
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366125765578
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1366125772551
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125849395
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366125853023
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125876221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125878359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125879766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125903895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125904022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366125904055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126510396
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366126510425
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366126516673
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1366126520527
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1366126523200
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366126524016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366126537459
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1366126546039
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366126549397
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366126552233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366126563878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366126564251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126565930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126567073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126567745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126568417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126570656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126581132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126686445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126686547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126686589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126689809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126703898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126704581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126705563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126705647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126705698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126771780
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366126773007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126776034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126776103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126776135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126776857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126778321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126837883
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1366126841823
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1366126842952
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366126845769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366126861676
